X,Y,Z,MaximumInscribedSphereRadius
31.2372264862,3.54348111153,29.9654712677,2.30968398228
31.2707290649,3.63615894318,29.947719574,2.29821939509
31.2976894379,3.73235082626,29.9508304596,2.29055325976
31.322927475,3.82914996147,29.9525222778,2.28383094611
31.3479537964,3.92599344254,29.9534664154,2.27753831398
31.3769989014,4.0216884613,29.9567642212,2.27120944496
31.4022979736,4.11767911911,29.9688491821,2.26703314602
31.4205856323,4.21404504776,29.9885654449,2.26444131072
31.4425029755,4.30914115906,30.0105457306,2.26186089687
31.4560432434,4.40446472168,30.0376262665,2.25816547031
31.4722156525,4.4990105629,30.0661315918,2.25469879337
31.4825344086,4.59207487106,30.1012153625,2.24831938437
31.4892787933,4.68245220184,30.1439399719,2.24277100088
31.4953708649,4.77151489258,30.1889877319,2.23445717913
31.503944397,4.86068487167,30.233455658,2.22430087272
31.5224342346,4.95274019241,30.2680206299,2.21212587376
31.5365695953,5.04681110382,30.2988986969,2.19836852192
31.5562114716,5.14000272751,30.3296890259,2.18684050416
31.5772247314,5.23292732239,30.3601837158,2.17636366642
31.598449707,5.32752895355,30.3847484589,2.16636251264
31.6176490784,5.4227309227,30.4089279175,2.1572658671
31.6379814148,5.51787805557,30.432012558,2.14816922155
31.6624641418,5.612803936,30.4517936707,2.14108691277
31.6882724762,5.70777702332,30.4699573517,2.13424929015
31.7123794556,5.80322265625,30.4877166748,2.12801270242
31.7348079681,5.89942932129,30.503868103,2.12562889198
31.7593231201,5.99458265305,30.5224285126,2.12458404008
31.7849178314,6.08893108368,30.5441360474,2.1229646841
31.8058948517,6.18428230286,30.5663299561,2.12139264648
31.8205184937,6.28023481369,30.590511322,2.12016712739
31.8352298737,6.37487602234,30.6194267273,2.11856143677
31.849111557,6.47149801254,30.6410884857,2.11479126832
31.8581790924,6.56930589676,30.6601219177,2.11053101527
31.8724651337,6.66583395004,30.6821918488,2.10606420511
31.8855895996,6.76304531097,30.7018470764,2.10273059887
31.9021339417,6.86040401459,30.7177772522,2.09945181924
31.9166107178,6.95705127716,30.7392501831,2.09844403978
31.9354457855,7.05311393738,30.759645462,2.0984970513
31.9578361511,7.14966773987,30.7731933594,2.10008728986
31.9797897339,7.24588346481,30.7896900177,2.1041352538
31.9970092773,7.34212636948,30.8105869293,2.10724480743
32.0121154785,7.43690490723,30.8391799927,2.10830650781
32.031047821,7.53239345551,30.8621368408,2.11077812057
32.0521659851,7.62725734711,30.8859291077,2.11383163184
32.0661582947,7.72423028946,30.9061450958,2.11652063354
32.0821647644,7.81981468201,30.9306945801,2.11664448764
32.0927467346,7.91594457626,30.9564933777,2.11607377166
32.105342865,8.01205921173,30.9813079834,2.11399500909
32.1206169128,8.10834407806,31.0037765503,2.11052002536
32.1366539001,8.20480632782,31.0248699188,2.10817164949
32.1503105164,8.30099868774,31.0487728119,2.10616950115
32.1641044617,8.39810752869,31.0683574677,2.10438134302
32.1772651672,8.49547481537,31.0878257751,2.10374902777
32.188709259,8.59250068665,31.1098575592,2.10311671251
32.1963386536,8.6891336441,31.1345176697,2.10248439726
32.1986045837,8.78539943695,31.161529541,2.10406622005
32.1983795166,8.88192558289,31.1878910065,2.10628671235
32.199924469,8.9793806076,31.2103900909,2.11240155443
32.2036895752,9.07714176178,31.2313632965,2.1179858424
32.2090110779,9.17477321625,31.2525024414,2.12200332607
32.2142486572,9.27283477783,31.2715263367,2.12829990519
32.2160758972,9.37170982361,31.2868747711,2.13634679783
32.2231330872,9.46984672546,31.304725647,2.14362437286
32.228931427,9.56859111786,31.3195152283,2.15107478514
