X,Y,Z,MaximumInscribedSphereRadius
62.1882286072,4.46547889709,59.4127655029,2.20581739381
62.22215271,4.5348944664,59.4360198975,2.20488066164
62.2737197876,4.63680315018,59.4748954773,2.20365713404
62.3162574768,4.72049283981,59.5047340393,2.20112277677
62.3572044373,4.80568361282,59.539150238,2.19742292953
62.400604248,4.88967609406,59.5716400146,2.19227248091
62.4427871704,4.97366809845,59.6060409546,2.18647472453
62.4875640869,5.05463171005,59.6441917419,2.18153381833
62.533290863,5.13656425476,59.6789627075,2.17650636392
62.5766830444,5.21864366531,59.7163162231,2.17145760648
62.6242713928,5.30025482178,59.749332428,2.16452842993
62.6679496765,5.38381481171,59.7829704285,2.15947971244
62.7147369385,5.46522474289,59.8177261353,2.15583311238
62.7598571777,5.54713916779,59.8532142639,2.14966402432
62.8086280823,5.62864971161,59.8849639893,2.14345039442
62.8553657532,5.70975637436,59.9202728271,2.13814590436
62.8997993469,5.79392337799,59.9513664246,2.13226905242
62.9457130432,5.87763595581,59.9813575745,2.13015005766
62.9920043945,5.96081924438,60.0122070312,2.12725434659
63.0370674133,6.04576158524,60.0400695801,2.12372083069
63.0819282532,6.13183116913,60.0648651123,2.12018731478
63.1282463074,6.21683073044,60.0903053284,2.11691353961
63.1772994995,6.30115795135,60.1126441956,2.11458008254
63.2237281799,6.38731145859,60.1336479187,2.11303770735
63.2687072754,6.47505474091,60.1509742737,2.11238851668
63.3105888367,6.5642375946,60.1685714722,2.11121274189
63.3541221619,6.65229272842,60.1878929138,2.11061474485
63.4002799988,6.73960018158,60.2047080994,2.11026702117
63.4403572083,6.83009958267,60.219165802,2.10977432
63.4800720215,6.92101144791,60.2331047058,2.11082820572
63.5241851807,7.01008749008,60.245349884,2.11189873442
63.5693855286,7.09885120392,60.2548599243,2.1129573771
63.6090507507,7.19042921066,60.2628440857,2.11387714895
63.6504402161,7.28111124039,60.2719078064,2.11521589935
63.6929206848,7.37126874924,60.2812309265,2.11669082283
63.7350730896,7.4617266655,60.2889823914,2.11809115109
63.7788619995,7.55148792267,60.2957725525,2.11944749552
63.8224754333,7.64141178131,60.301158905,2.12088979019
63.864730835,7.73209381104,60.3043060303,2.12268193259
63.9087486267,7.82206726074,60.3048667908,2.12404788134
63.9529342651,7.91174554825,60.3089332581,2.1248482972
63.9967689514,8.00168991089,60.3119659424,2.12181180787
64.0370254517,8.09331321716,60.3121109009,2.11932502217
64.0760726929,8.18546199799,60.308555603,2.11696690134
64.1110076904,8.2791929245,60.3116149902,2.11219805217
64.1477508545,8.37222194672,60.3093147278,2.10768599713
64.1823043823,8.4660282135,60.3037033081,2.1035507477
64.21434021,8.56085968018,60.3030662537,2.10043019627
64.2489318848,8.65479373932,60.2994155884,2.0989035163
64.2841262817,8.74819469452,60.2907447815,2.09737683633
64.317565918,8.84164810181,60.2776527405,2.09636826057
64.3511352539,8.93559360504,60.26978302,2.09622310476
64.3861160278,9.02918148041,60.2631454468,2.09621753092
64.422088623,9.12188816071,60.2517356873,2.09798019729
64.4570236206,9.21512126923,60.2414016724,2.09986808443
64.4906539917,9.30809879303,60.226146698,2.1018022479
64.5249328613,9.4004945755,60.2081871033,2.10371425445
64.5603866577,9.49281024933,60.1925239563,2.10491659063
64.5923309326,9.58568286896,60.17345047,2.10708436684
64.6242141724,9.67833995819,60.1529808044,2.10980003416
64.6590499878,9.76990890503,60.1323699951,2.11169200741
64.6920928955,9.86125850677,60.1081428528,2.11351507412
64.7218399048,9.95297718048,60.0811882019,2.11351619315
64.7531204224,10.0438203812,60.0531768799,2.11361018258
64.7870635986,10.1332473755,60.0237617493,2.1141732637
64.8167953491,10.2228660583,59.9905471802,2.11229324464
64.8446731567,10.3129034042,59.9566192627,2.11005610934
64.8722763062,10.4027061462,59.922077179,2.10724413613
64.8988876343,10.4912052155,59.8836593628,2.10466794927
64.9261856079,10.581196785,59.8493347168,2.10249668225
64.9557266235,10.669708252,59.8131752014,2.10067909662
64.9874267578,10.7576227188,59.7773895264,2.09946810048
65.017364502,10.8465213776,59.74269104,2.09794725653
65.0447387695,10.9336709976,59.7016639709,2.0960756532
65.0744171143,11.0199975967,59.6603965759,2.09527923647
65.1046600342,11.106757164,59.6207008362,2.09645694468
65.1349334717,11.1928815842,59.5798683167,2.09359056946
65.1670303345,11.2782831192,59.5386810303,2.09079963377
65.1989898682,11.3595046997,59.4897537231,2.08558897856
65.2233123779,11.441904068,59.4384002686,2.0796055757
65.2443618774,11.5224123001,59.3828468323,2.07420538268
65.2674636841,11.6022443771,59.3270721436,2.0692796557
65.2901000977,11.6823139191,59.2714691162,2.06364010083
65.3156738281,11.7614374161,59.2157020569,2.05835410409
65.3369979858,11.8396511078,59.1570205688,2.05425644748
65.3531341553,11.9168672562,59.0953407288,2.05119027183
65.3658905029,11.9951505661,59.0343093872,2.04877042714
65.3759078979,12.0756101608,58.975605011,2.04798010302
65.3844299316,12.1548910141,58.9150810242,2.04943266075
65.3950881958,12.232963562,58.8533325195,2.05159811949
65.4061737061,12.3118152618,58.7927818298,2.0570118069
65.410949707,12.3936786652,58.7353668213,2.06300236181
65.4118728638,12.4758844376,58.6779785156,2.06899291672
65.4122085571,12.5554151535,58.6171684265,2.07481833464
65.4135971069,12.6337509155,58.5546989441,2.08370588936
65.4167938232,12.7144622803,58.4953994751,2.09345629836
65.4233551025,12.7987527847,58.4417037964,2.10368650883
65.431098938,12.8850412369,58.3913841248,2.1171364035
65.4314575195,12.9669332504,58.3339195251,2.12826485449
65.4305114746,13.0505142212,58.2784805298,2.14066146548
65.4356613159,13.1343851089,58.2241973877,2.15305807648
65.4468383789,13.2180814743,58.1696472168,2.16523198105
65.4429779053,13.3017921448,58.114025116,2.17641219402
65.4220199585,13.3790454865,58.0540924072,2.1824612563
65.405921936,13.4589719772,57.9958763123,2.18823997263
65.3905944824,13.5369987488,57.9351196289,2.19533197199
65.3783798218,13.6154623032,57.8740768433,2.20252997686
65.3741378784,13.6962900162,57.8151931763,2.21044601469
65.3691177368,13.7749834061,57.7535667419,2.21913361622
65.3533401489,13.8516921997,57.6913452148,2.22183824633
65.3371887207,13.9228525162,57.6226959229,2.22272813461
65.3175354004,13.9927663803,57.5536613464,2.22233850919
65.2920455933,14.0616607666,57.4856872559,2.22118803377
65.2594070435,14.1234788895,57.414024353,2.21712310201
65.2330627441,14.185751915,57.3403282166,2.21271257546
65.2076873779,14.2500047684,57.2679176331,2.2093537641
65.1788330078,14.3132181168,57.1958122253,2.20612221048
65.149559021,14.3753490448,57.1228981018,2.20305959127
65.1173248291,14.4345445633,57.0489730835,2.19993564491
65.0813827515,14.490067482,56.9738273621,2.19650934914
65.0475082397,14.5448579788,56.8972091675,2.19228473433
65.0127792358,14.6010513306,56.8220176697,2.18992223293
64.9758682251,14.6581859589,56.7485313416,2.1888195848
64.936920166,14.7082719803,56.6711540222,2.18550783807
64.8975448608,14.7611465454,56.5957603455,2.18576854491
64.8577575684,14.81594944,56.5219230652,2.18647382916
64.8163299561,14.8626041412,56.443862915,2.18605877651
64.7743606567,14.9085321426,56.3655166626,2.18694768268
64.7328872681,14.9615478516,56.2912597656,2.18986671297
64.6907119751,15.0138959885,56.2170372009,2.19278574327
64.6465530396,15.0585269928,56.1392364502,2.1954179491
64.5992050171,15.1005716324,56.0614929199,2.19798931231
64.5486907959,15.1413192749,55.9851913452,2.20060443549
64.4961395264,15.1737174988,55.9065666199,2.20177242893
64.4433746338,15.2079200745,55.8285179138,2.20417526304
64.3894424438,15.2458372116,55.7528762817,2.20745344199
64.3314590454,15.2754144669,55.6772193909,2.20984846911
64.2695388794,15.2918548584,55.6002388,2.20818396828
64.2059249878,15.3082370758,55.5247421265,2.2063910026
64.1453552246,15.3397846222,55.4516716003,2.20545073958
64.0838394165,15.3669614792,55.3776245117,2.20488251907
64.0176391602,15.3918504715,55.3067893982,2.20408326174
63.9552993774,15.4144430161,55.2318000793,2.20232238777
63.8886871338,15.4337062836,55.1605148315,2.20228578447
63.8204994202,15.4526195526,55.0903930664,2.20272958975
63.7531814575,15.4657478333,55.0174446106,2.2026231796
63.6861610413,15.4896211624,54.9444961548,2.20544941677
63.6193466187,15.514292717,54.8743591309,2.20902418311
63.5515289307,15.5254259109,54.8034324646,2.21242471311
63.4802474976,15.5259237289,54.7330360413,2.21524615252
63.4119186401,15.5404272079,54.6615371704,2.22205781977
63.3442687988,15.5590763092,54.5898475647,2.2292172218
63.2723464966,15.5735759735,54.5221977234,2.23852660424
63.204536438,15.6014156342,54.4534416199,2.24894197127
63.1356735229,15.6240386963,54.3844985962,2.2591878605
