X,Y,Z,MaximumInscribedSphereRadius
31.6830310822,5.22350120544,31.0032672882,2.49698521486
31.629196167,5.29953241348,30.9669589996,2.5058174471
31.566192627,5.37126398087,30.9370937347,2.51538831262
31.5045833588,5.44462251663,30.9084644318,2.5251830586
31.4377269745,5.51385068893,30.8808040619,2.53532856554
31.3760871887,5.5867600441,30.8513507843,2.54488770924
31.3174438477,5.66000509262,30.8167095184,2.55275182872
31.2566547394,5.73018598557,30.7794437408,2.56173154996
31.1973609924,5.80065441132,30.7405128479,2.57108880965
31.138086319,5.87143278122,30.7025165558,2.57654982883
31.0758266449,5.93826532364,30.6615066528,2.58036763529
31.0326881409,6.00522994995,30.6013202667,2.58062113661
30.9789924622,6.06906890869,30.546459198,2.5785661092
30.9146575928,6.12763500214,30.4957866669,2.57668188256
30.8532028198,6.18418884277,30.4409179688,2.57526353564
30.7991065979,6.24449205399,30.3825092316,2.57317197347
30.7324638367,6.29467773438,30.3270511627,2.56780315835
30.6661605835,6.34039926529,30.2676792145,2.56053439519
30.6067028046,6.39281368256,30.2069625854,2.55682864493
30.5504169464,6.4481883049,30.1453552246,2.55353983247
30.4917640686,6.4979300499,30.0813941956,2.5511769395
30.4321670532,6.54452419281,30.0159053802,2.54947072631
30.3774776459,6.59635591507,29.9502563477,2.54805748124
30.3249015808,6.64660072327,29.8815727234,2.54686725858
30.2704772949,6.69579076767,29.8136100769,2.54581500928
30.2187023163,6.74332427979,29.7427635193,2.54643447089
30.1553840637,6.78062009811,29.6748485565,2.5424949558
30.1020641327,6.81850242615,29.5996284485,2.5349885048
30.0603122711,6.85992574692,29.5183601379,2.52628308615
30.0181446075,6.89748811722,29.4356460571,2.51808896163
29.9717884064,6.93751955032,29.3565826416,2.5105271289
29.9265785217,6.9799990654,29.2781829834,2.50324856612
29.8741722107,7.0205821991,29.2032566071,2.49537094413
29.822555542,7.06676006317,29.1310253143,2.48782407252
29.7747211456,7.11455440521,29.0572967529,2.4802772009
29.730178833,7.15967655182,28.9799861908,2.47308023889
29.6864795685,7.20581579208,28.9027118683,2.46686678544
29.6433677673,7.2487206459,28.8233566284,2.46085714347
29.5967578888,7.28937864304,28.7449035645,2.45557219084
29.5454959869,7.32669687271,28.6675605774,2.4486652283
29.4932041168,7.36478471756,28.5914230347,2.43949862296
29.4419269562,7.40119791031,28.513671875,2.42816503059
29.3920955658,7.44130182266,28.4368400574,2.41518458918
29.3420410156,7.47993612289,28.3593025208,2.40049304898
29.2961158752,7.51647949219,28.2783279419,2.38522420495
29.2552871704,7.5554599762,28.1958236694,2.36935201487
29.2123603821,7.59742975235,28.1159000397,2.35279377629
29.1672744751,7.63132858276,28.0332984924,2.33702320056
29.1226387024,7.6610326767,27.9488735199,2.32294128116
29.0781459808,7.69546604156,27.8662452698,2.30784750797
29.0330867767,7.72441053391,27.781747818,2.29420382806
28.9851589203,7.75342273712,27.6989593506,2.28192998922
28.9350967407,7.77717399597,27.6156387329,2.27065511958
28.8871765137,7.80230140686,27.531419754,2.26085273658
28.8419799805,7.81922531128,27.4439277649,2.25120924099
28.7917060852,7.82727527618,27.35779953,2.2429353508
28.7393627167,7.8363237381,27.272983551,2.23493171155
28.6925907135,7.84944009781,27.1856498718,2.22610782594
28.6542758942,7.86293554306,27.0941333771,2.21566612222
28.6182594299,7.86765480042,27.0010108948,2.2025964637
28.5775299072,7.87272596359,26.9097900391,2.18836763382
28.5370559692,7.87674856186,26.8183841705,2.17688423077
28.5000362396,7.87898397446,26.7254943848,2.16836221049
28.4667778015,7.88110351562,26.6311416626,2.1598401902
28.4371242523,7.88560628891,26.5356292725,2.15308416023
28.4058742523,7.90276956558,26.4421367645,2.14667296916
28.3717346191,7.90406990051,26.3482456207,2.14054986489
28.342092514,7.90463447571,26.2527599335,2.13482128726
28.3165893555,7.9107298851,26.1562652588,2.1308546363
28.2942523956,7.91903543472,26.0590343475,2.12784718388
28.2742481232,7.9193239212,25.9611091614,2.12450521019
28.2579631805,7.91839122772,25.8627643585,2.11595839649
28.2491035461,7.94599580765,25.767074585,2.10948367036
28.2358322144,7.97557592392,25.6724624634,2.10296585448
28.2263183594,7.99087524414,25.5740432739,2.09586131094
28.214471817,8.00807476044,25.4762687683,2.08894780402
28.2020282745,8.02141189575,25.3779850006,2.08238144138
28.1898841858,8.02659893036,25.2788295746,2.07634153943
28.1807632446,8.02715015411,25.1791629791,2.07084635631
28.1758785248,8.02536487579,25.0793228149,2.06692811863
28.1666660309,8.02380847931,24.9795856476,2.06111918746
28.1584777832,8.03727817535,24.8804569244,2.05581193738
28.1558017731,8.02261543274,24.7822570801,2.05343237268
28.1556873322,8.00074291229,24.6846828461,2.05185089291
28.1518936157,8.00241088867,24.585018158,2.04805355022
28.1526699066,7.99705314636,24.4849948883,2.043784306
28.1568889618,7.99706935883,24.3850746155,2.04119086072
28.1562824249,8.00317764282,24.2852668762,2.03703402036
28.1605072021,8.01202201843,24.1857471466,2.03362939029
28.1694355011,8.02587890625,24.0871315002,2.03148760776
28.1776428223,8.04172611237,23.9886760712,2.03169405737
28.1821975708,8.05727100372,23.8899326324,2.03408364246
28.1829490662,8.07253265381,23.7910823822,2.03647322755
28.1809196472,8.08662319183,23.6920776367,2.04211307884
28.1820926666,8.09630298615,23.592206955,2.04780950542
28.1874961853,8.10816001892,23.4929389954,2.053505932
28.1967945099,8.13026428223,23.3960781097,2.06082372908
28.2051544189,8.15575504303,23.2998085022,2.07009333388
28.2100868225,8.17335700989,23.2013339996,2.07911831127
28.218629837,8.18816375732,23.102563858,2.09056940361
28.2325019836,8.19455337524,23.0038356781,2.102190418
28.2443828583,8.2035741806,22.90508461,2.11361512697
28.2535896301,8.21817111969,22.8063468933,2.12503983594
28.2661342621,8.22897338867,22.7077789307,2.13968485559
28.283498764,8.23425483704,22.6094150543,2.15562812794
28.3045711517,8.23678016663,22.5112323761,2.17291305335
28.3275985718,8.24337291718,22.414024353,2.19189146867
28.3504085541,8.26415348053,22.319311142,2.20728695299
28.3746166229,8.29080963135,22.2258110046,2.22084965236
28.4034366608,8.30922794342,22.1317024231,2.23559665972
28.4376888275,8.32131290436,22.0383548737,2.25034366708
28.4739284515,8.3260345459,21.9453849792,2.26163172182
28.5099468231,8.32287025452,21.8519649506,2.27209122971
28.5488071442,8.32319641113,21.7599029541,2.28199983272
28.5832881927,8.32535839081,21.6659564972,2.29165723188
28.619134903,8.32398509979,21.5723438263,2.30088627463
