X,Y,Z,MaximumInscribedSphereRadius
34.9306755066,5.52970743179,41.1415939331,1.79494231799
34.9343185425,5.61807394028,41.0954437256,1.79366242659
34.9408798218,5.70815372467,41.0522079468,1.79402193807
34.947769165,5.79950475693,41.0110626221,1.7943430444
34.9532775879,5.89066362381,40.9700469971,1.79427248564
34.9609413147,5.98017072678,40.9260139465,1.7947100663
34.9730949402,6.07091236115,40.8851356506,1.79589913827
34.9779853821,6.15919208527,40.8385925293,1.79644442464
34.9806098938,6.2470459938,40.790725708,1.79593657795
34.9842720032,6.33578681946,40.7445869446,1.79788783424
34.9887199402,6.4254360199,40.700302124,1.79997519285
34.9924621582,6.51420688629,40.6542739868,1.79900870376
34.996711731,6.60199308395,40.6063652039,1.79829384178
35.0017623901,6.6912560463,40.5614433289,1.79750198292
35.0039749146,6.78084373474,40.5167999268,1.79667590121
35.0072975159,6.87105464935,40.4734649658,1.79527424462
35.0153846741,6.96154069901,40.4315605164,1.79382013674
35.0273323059,7.05114030838,40.3885650635,1.79243538738
35.0369491577,7.1412525177,40.3461418152,1.79157733982
35.0519866943,7.23149251938,40.305557251,1.78922529408
35.0653686523,7.3228354454,40.266910553,1.78776097916
35.0760879517,7.41534042358,40.2300453186,1.78664251767
35.0915603638,7.50749826431,40.1943893433,1.78611573049
35.1066970825,7.60097932816,40.1619682312,1.78317506376
35.1275596619,7.69386482239,40.1309204102,1.781199497
35.1522293091,7.78606700897,40.100933075,1.77949380163
35.1761817932,7.87742042542,40.067817688,1.77537880329
35.1977272034,7.97055006027,40.0380058289,1.77277381952
35.224105835,8.06229305267,40.0080680847,1.77017503412
35.251411438,8.15351390839,39.9774665833,1.76796414832
35.2789039612,8.24648189545,39.9523544312,1.76603710782
35.3048362732,8.34024143219,39.9284133911,1.76423941739
35.3292999268,8.43414020538,39.9039497375,1.76337077797
35.3558731079,8.52815818787,39.8823204041,1.76315468732
35.3848495483,8.62182617188,39.8620147705,1.76293859668
35.4149894714,8.71508312225,39.8416023254,1.76168815031
35.4418487549,8.80980491638,39.8238716125,1.76183620966
35.4661254883,8.9053735733,39.8065834045,1.76290899185
35.4927062988,9.00001049042,39.7879714966,1.75973951253
35.5189170837,9.09591388702,39.7761497498,1.75751621141
35.5417060852,9.19275569916,39.7651939392,1.75724005133
35.5632362366,9.28970527649,39.7527084351,1.75696389125
35.5850257874,9.38631439209,39.7381591797,1.75786901398
35.6056022644,9.48356628418,39.7271575928,1.75910675954
35.6247634888,9.58159542084,39.7203140259,1.7604838743
35.6434631348,9.67984104156,39.7145080566,1.76345992666
35.6617012024,9.7781496048,39.7095832825,1.767796696
35.678604126,9.87674808502,39.7080955505,1.77216128148
35.6935691833,9.9757270813,39.7092590332,1.77679113051
35.7066802979,10.0747766495,39.7034225464,1.78096462708
35.715461731,10.1741600037,39.6953010559,1.78492486665
35.7203865051,10.2741336823,39.6932830811,1.78935969833
35.7253112793,10.3740339279,39.6945304871,1.79526409655
35.7287254333,10.4740219116,39.6935501099,1.79936193549
35.7325401306,10.5740814209,39.6885795593,1.80345977443
35.7332038879,10.6740598679,39.6903457642,1.80746223647
35.731338501,10.7741069794,39.6896095276,1.8108336678
35.7288742065,10.8741836548,39.6880912781,1.81420576238
35.7252426147,10.9739570618,39.6950187683,1.81749145508
35.7169265747,11.0737028122,39.6968917847,1.82035031574
35.7092666626,11.1733512878,39.7014503479,1.82412957922
35.7042121887,11.2728567123,39.7121734619,1.82803683391
35.70129776,11.3720521927,39.7252388,1.83057120361
35.6963806152,11.4711284637,39.7385292053,1.83255930618
35.6912765503,11.5705480576,39.7489814758,1.83398947711
35.6853981018,11.6693754196,39.7634735107,1.83653169114
35.6752433777,11.7670078278,39.7828865051,1.83935339189
35.6608963013,11.8642282486,39.8017425537,1.83994062506
35.6443252563,11.9620542526,39.8156242371,1.83909797138
35.6268043518,12.0580244064,39.8373336792,1.83843782381
35.609413147,12.153883934,39.8601379395,1.83743914346
35.5882911682,12.2502088547,39.8771820068,1.83504439588
35.5681686401,12.3457078934,39.8996162415,1.83466365546
35.5474624634,12.4402322769,39.9253501892,1.83501786649
35.5232086182,12.5327157974,39.9548530579,1.83561409407
35.5000305176,12.6257209778,39.9836044312,1.83693652154
35.4769172668,12.7184495926,40.0134391785,1.83864012484
35.4509811401,12.8098640442,40.0450973511,1.84203585946
35.4214286804,12.9016752243,40.0716133118,1.8446896803
35.392074585,12.9930515289,40.0999641418,1.84698652288
35.3614387512,13.0831317902,40.1311264038,1.85104216994
35.331817627,13.1748361588,40.1579666138,1.85554062406
35.2987709045,13.265422821,40.1847229004,1.86004011454
35.2625045776,13.3535423279,40.2155914307,1.8645058138
35.2274055481,13.4408445358,40.2496795654,1.87096940036
35.1929740906,13.5283985138,40.2838172913,1.8759274451
35.1548233032,13.6150598526,40.3163757324,1.88192040037
35.1147994995,13.6993370056,40.3526039124,1.88816035028
35.0747909546,13.7836675644,40.3885345459,1.89522680217
35.0299034119,13.8673028946,40.4204101562,1.90003737558
34.9852638245,13.9489412308,40.4572677612,1.90516323485
34.9379577637,14.0297470093,40.4927940369,1.91050010507
34.8865127563,14.1101026535,40.5230484009,1.91597532745
