X,Y,Z,MaximumInscribedSphereRadius
51.3603439331,8.57872962952,47.9087677002,2.20819997676
51.3763313293,8.66645908356,47.8668556213,2.20890654362
51.3878517151,8.75708580017,47.8228645325,2.20836451469
51.3981399536,8.84888076782,47.7798690796,2.20852479073
51.4085006714,8.93884658813,47.7371864319,2.2091235818
51.4174461365,9.03033924103,47.6987266541,2.20972237288
51.4242553711,9.12232017517,47.6597213745,2.20992598411
51.4300384521,9.21142196655,47.6136703491,2.21006140385
51.4356613159,9.3016500473,47.5700683594,2.21019682359
51.4399452209,9.39310836792,47.529296875,2.21151269009
51.4417610168,9.48303890228,47.4846878052,2.2127069276
51.4457054138,9.57286834717,47.4402122498,2.21512544818
51.4541816711,9.65965461731,47.3906059265,2.217940349
51.4589347839,9.74647521973,47.3403396606,2.22136375196
51.4601745605,9.83109092712,47.2864875793,2.22478715492
51.4637451172,9.90945625305,47.2241744995,2.2244100319
51.470741272,9.98368740082,47.1569137573,2.22326676393
51.4758110046,10.0585613251,47.0904197693,2.22151670648
51.4789581299,10.1354980469,47.0261459351,2.21967050866
51.4795303345,10.2133846283,46.9629249573,2.21858194877
51.4781303406,10.2890672684,46.8971405029,2.21665859012
51.4751281738,10.366063118,46.8329544067,2.21472209978
51.4721603394,10.4443178177,46.7702941895,2.21306991187
51.468875885,10.5228796005,46.7080001831,2.21141772396
51.4648895264,10.6009559631,46.6451148987,2.21267084344
51.4596786499,10.6789178848,46.5821990967,2.21465879289
51.4526557922,10.7576618195,46.5204925537,2.21664674235
51.4443588257,10.8378381729,46.4608039856,2.21890747808
51.4407806396,10.9186029434,46.4014511108,2.22338492597
51.4379806519,10.9999008179,46.3427581787,2.22802502114
51.431930542,11.0818090439,46.285194397,2.2342757968
51.4289474487,11.163310051,46.2267799377,2.24116834415
51.4282531738,11.2438297272,46.166934967,2.24804039316
51.4281578064,11.3249607086,46.1079750061,2.25534594978
51.4271659851,11.4084291458,46.0522155762,2.26415455881
51.4252357483,11.4886617661,45.9921951294,2.27245623034
51.4244613647,11.5684328079,45.9313850403,2.28166686255
