X,Y,Z,MaximumInscribedSphereRadius
22.8565158844,4.72087097168,80.7860488892,2.26089294106
22.8521823883,4.83534669876,80.7657394409,2.25644769924
22.8547267914,4.92114019394,80.7510604858,2.25194923695
22.8584632874,5.01534509659,80.727180481,2.24739901478
22.866558075,5.11233472824,80.7042236328,2.24306557893
22.8698711395,5.2103767395,80.6845626831,2.23911225615
22.868019104,5.30963420868,80.6647415161,2.23600507602
22.8799743652,5.40459346771,80.6379394531,2.23289789589
22.8959102631,5.49855661392,80.6091079712,2.22709025739
22.9006023407,5.59640073776,80.5859298706,2.22275873173
22.91157341,5.69244194031,80.5603485107,2.21884457056
22.9269332886,5.78658819199,80.529838562,2.2145045
22.9350700378,5.88265180588,80.5037002563,2.20991844663
22.9446372986,5.97825098038,80.4757232666,2.20530731537
22.9606227875,6.07235717773,80.4457321167,2.19883758206
22.9686985016,6.16776132584,80.4169158936,2.19388051421
22.9760246277,6.26314401627,80.3878707886,2.18803165738
22.9854774475,6.35766744614,80.3562393188,2.18193574001
22.9975605011,6.45153951645,80.3237838745,2.17562526268
23.006521225,6.54532146454,80.2901687622,2.1685331158
23.0181808472,6.64029884338,80.2598648071,2.16351033034
23.0266704559,6.73465967178,80.2267990112,2.15828956746
23.0539321899,6.82160282135,80.1859588623,2.15060977153
23.0769329071,6.9107966423,80.1472854614,2.14229714693
23.0878257751,7.00393819809,80.1120910645,2.13483091093
23.1041812897,7.09429311752,80.0726776123,2.12617261644
23.1209659576,7.18629026413,80.0369949341,2.11684421194
23.1416625977,7.27471399307,79.9950790405,2.10663191003
23.1594905853,7.36476325989,79.9557952881,2.09723431813
23.1731758118,7.45684766769,79.9191131592,2.08883764496
23.1892547607,7.54784059525,79.8807296753,2.07849341201
23.2078971863,7.63727855682,79.8397216797,2.06810400444
23.2290210724,7.72385931015,79.794090271,2.05760847361
23.2527217865,7.8112578392,79.7513809204,2.04765783996
23.2668876648,7.90057420731,79.7087860107,2.03759946789
23.2905044556,7.98803377151,79.6660003662,2.02655922053
23.321893692,8.070353508,79.61769104,2.01557516621
23.3520107269,8.150598526,79.566192627,2.00503008937
23.3805179596,8.23388576508,79.5186462402,1.99478811694
23.4104328156,8.31394767761,79.466545105,1.98450044002
23.4439716339,8.39509487152,79.4182739258,1.9754820664
23.4793682098,8.47311401367,79.3666610718,1.96646369278
23.5112819672,8.55104160309,79.3129959106,1.9584054922
23.5373497009,8.63424491882,79.2635955811,1.95113100256
23.5627746582,8.71545696259,79.2109909058,1.94497996006
23.5895900726,8.79872322083,79.1622543335,1.93892124483
23.618314743,8.88097190857,79.1129989624,1.93302050208
23.6499977112,8.96041107178,79.0610656738,1.92751239297
23.6860542297,9.03779506683,79.0084152222,1.92298418287
23.719493866,9.11706161499,78.9573135376,1.91905996301
23.7432289124,9.2010974884,78.9084777832,1.91821530026
23.7807025909,9.27779483795,78.8562393188,1.9156086669
23.8137493134,9.35632705688,78.8038253784,1.91495513793
23.8502521515,9.433385849,78.7514801025,1.91352950243
23.8859767914,9.50947475433,78.6971435547,1.91311291906
23.9278945923,9.58179092407,78.6419219971,1.91289511548
