X,Y,Z,MaximumInscribedSphereRadius
22.3350868225,3.40636396408,70.1474075317,1.90370372712
22.2594242096,3.43639802933,70.1864318848,1.90289579523
22.1651363373,3.47720503807,70.2370376587,1.90319566393
22.0865421295,3.50858545303,70.2767181396,1.90466703069
22.0000934601,3.53892683983,70.3210220337,1.90694406798
21.9194698334,3.56678128242,70.373336792,1.90614156613
21.8381748199,3.59178185463,70.426071167,1.90474084522
21.7560024261,3.6177277565,70.476852417,1.90334012431
21.6722812653,3.64320397377,70.5252685547,1.90221695364
21.5893306732,3.67009949684,70.5743331909,1.90243830299
21.5085544586,3.69769310951,70.626663208,1.90421273158
21.4273052216,3.719165802,70.6808395386,1.90576152077
21.3461933136,3.74354052544,70.7340240479,1.90523735419
21.2648067474,3.7700073719,70.7858734131,1.90471822199
21.1849803925,3.79754400253,70.8395309448,1.90425855892
21.1066150665,3.82809400558,70.8936538696,1.90412840913
21.0280590057,3.86194729805,70.945526123,1.90462815155
20.9502601624,3.89866876602,70.9965133667,1.90514280785
20.8724517822,3.93208599091,71.0498046875,1.90549121997
20.7933750153,3.96637415886,71.1005859375,1.90591634755
20.7158584595,4.00262451172,71.152305603,1.9071644916
20.6377162933,4.03578090668,71.2052993774,1.90943183369
20.5587310791,4.07040500641,71.2559967041,1.9124185371
20.4830303192,4.10850811005,71.3091125488,1.9166268116
20.4055480957,4.14343214035,71.3617630005,1.92181315615
20.326379776,4.17694711685,71.412979126,1.92682349177
20.2486534119,4.21353626251,71.4642791748,1.93098549818
20.1697254181,4.2483997345,71.514831543,1.93514903109
20.0917034149,4.28325939178,71.5657577515,1.93853548047
20.0158348083,4.32239055634,71.615737915,1.94220396255
19.9351844788,4.35926914215,71.655632019,1.94581405928
19.8594341278,4.39505767822,71.7149581909,1.94939780238
19.7881145477,4.43112754822,71.7820968628,1.95155594928
19.716386795,4.46969127655,71.8388519287,1.95156553674
19.6448822021,4.50811672211,71.8974456787,1.95323471946
19.5758094788,4.55002737045,71.9566116333,1.95484457759
19.5051498413,4.59436559677,72.0118026733,1.95287205375
19.4357242584,4.63974142075,72.0677566528,1.95430283439
19.3673171997,4.68286991119,72.1266098022,1.95603477906
19.2980537415,4.72559213638,72.184753418,1.95974468761
19.2278881073,4.76996088028,72.2406005859,1.96422192979
19.1597728729,4.81583356857,72.2977294922,1.9687699434
19.0924720764,4.86255311966,72.3550720215,1.9734437266
19.0218582153,4.91027736664,72.4074859619,1.97751772411
18.9550170898,4.96102285385,72.4619064331,1.98121134989
18.8894615173,5.01529216766,72.5143508911,1.98114137112
18.8242111206,5.07479858398,72.5613250732,1.97829175534
18.7665786743,5.13813018799,72.6130828857,1.97178977938
18.7049789429,5.19787454605,72.6644134521,1.96627197818
