X,Y,Z,MaximumInscribedSphereRadius
13.9589824677,3.78227329254,44.972782135,1.65669131898
13.9793996811,3.83854722977,44.9230155945,1.66479686143
14.0181589127,3.9283657074,44.8467597961,1.67289959332
14.0517063141,3.99879455566,44.7890396118,1.68198288063
14.0856246948,4.07024145126,44.7261619568,1.69187402065
14.1228427887,4.13952827454,44.6644477844,1.700688574
14.163980484,4.20717191696,44.6033706665,1.70902275111
14.210934639,4.27316761017,44.5447540283,1.7136166816
14.2560482025,4.33674287796,44.4820404053,1.71761933573
14.3045139313,4.39813756943,44.4197540283,1.72003088943
14.3473844528,4.46006059647,44.3539886475,1.72024018064
14.3921394348,4.52527713776,44.2927894592,1.71999693085
14.4350643158,4.59225273132,44.2321472168,1.72098416475
14.4779415131,4.65776586533,44.1699371338,1.7228555606
14.5200271606,4.72322845459,44.1071434021,1.72487963543
14.5592870712,4.79001045227,44.0438957214,1.72938964818
14.6021528244,4.85400295258,43.9801826477,1.73563205453
14.6478090286,4.91550302505,43.9157485962,1.74178017857
14.7005443573,4.97773551941,43.8581886292,1.74266594306
14.7576436996,5.03558731079,43.7998275757,1.7406967992
14.8156518936,5.09266996384,43.7417259216,1.73983388284
14.8769569397,5.15154409409,43.6891479492,1.73859759394
14.9388694763,5.2073636055,43.6339416504,1.73558868774
15.0011177063,5.26120996475,43.5771217346,1.73455567786
15.0639066696,5.31225538254,43.5183563232,1.73445095286
15.1263303757,5.36250591278,43.4585380554,1.73523837561
15.1889400482,5.41463947296,43.4005661011,1.73707440038
15.2509012222,5.46763563156,43.3426208496,1.73923390149
15.3120365143,5.51952648163,43.2828521729,1.74162136765
15.3731193542,5.56868839264,43.2207794189,1.74509827983
15.4345502853,5.6183385849,43.1594848633,1.74885800596
15.4941682816,5.6689119339,43.0970077515,1.75246032558
15.5521554947,5.71478939056,43.0295143127,1.75650304941
15.6118516922,5.75363397598,42.9593009949,1.76095954633
15.670545578,5.7994890213,42.892414093,1.76446352287
15.7233419418,5.8349108696,42.8155288696,1.7679996173
15.7785129547,5.86388254166,42.737247467,1.77174016115
15.8413305283,5.89878845215,42.668006897,1.77217699772
15.9091186523,5.9323015213,42.6022605896,1.77286216872
15.9741382599,5.96403551102,42.5331878662,1.77478814046
16.0360527039,5.99225187302,42.4598999023,1.77766726938
16.0996170044,6.02172088623,42.3885154724,1.78045042327
16.1669311523,6.04932785034,42.3198318481,1.78372940998
16.2312374115,6.07589006424,42.2480812073,1.78633469777
16.2975025177,6.10197114944,42.1778678894,1.78673671087
16.3671035767,6.12499189377,42.10987854,1.78665565171
16.4342098236,6.15252113342,42.0409927368,1.78746778358
16.5042934418,6.17593097687,41.9737091064,1.78566705957
16.5726852417,6.20280981064,41.9058609009,1.78256311274
16.6395378113,6.23143768311,41.8373336792,1.7804385904
16.712053299,6.25618028641,41.7729721069,1.77734537125
