X,Y,Z,MaximumInscribedSphereRadius
51.2218589783,8.46017742157,43.1206703186,1.78594579301
51.2296676636,8.54545402527,43.0473442078,1.7854176561
51.2342185974,8.6089849472,42.9881210327,1.78490410667
51.2446289062,8.68511676788,42.9213943481,1.78497214447
51.2485542297,8.75892925262,42.8541603088,1.78541947892
51.2590255737,8.83280181885,42.7879981995,1.7859741085
51.2684249878,8.90497398376,42.7190628052,1.78641467832
51.2784767151,8.97662734985,42.6497192383,1.78792519396
51.2950820923,9.04758358002,42.5809555054,1.78867514991
51.3088111877,9.1142988205,42.5074996948,1.78956507375
51.3209762573,9.18015193939,42.4327697754,1.79042799097
51.3350830078,9.24747657776,42.3597793579,1.79034923025
51.3541259766,9.31099033356,42.2847137451,1.78895859871
51.3723754883,9.37452411652,42.2093925476,1.78684398383
51.3887939453,9.43805408478,42.1337013245,1.785318936
51.4079627991,9.49649620056,42.0545120239,1.78381780383
51.4236793518,9.5585269928,41.9774017334,1.78311169832
51.4408416748,9.61870574951,41.8991165161,1.78233481106
51.4605369568,9.68011283875,41.8223953247,1.78235397939
51.4769172668,9.73822784424,41.7424316406,1.78262798721
51.4907493591,9.79581928253,41.6615104675,1.78288004118
51.5051498413,9.85941791534,41.5854034424,1.78443003798
51.5191993713,9.92146205902,41.5079574585,1.7864791055
51.5331039429,9.98396205902,41.4308738708,1.7887720824
51.5489654541,10.0460929871,41.3537597656,1.79258693685
51.5658721924,10.1078281403,41.276473999,1.79933925489
51.5778656006,10.1716966629,41.2002830505,1.80608041333
51.5887107849,10.2368068695,41.1249961853,1.81072163151
51.6053352356,10.2997055054,41.0486412048,1.81512276949
51.6211051941,10.3610982895,40.9707298279,1.82191225281
51.6365814209,10.4231586456,40.893497467,1.83043997261
51.6569671631,10.48777771,40.8197746277,1.83754704113
51.6792259216,10.5431728363,40.7391891479,1.83854175021
51.7049560547,10.5895738602,40.6539611816,1.83806355069
51.7278633118,10.6292209625,40.5647659302,1.83604777389
51.7535820007,10.6698741913,40.4769325256,1.83638444218
51.783531189,10.7123785019,40.3911399841,1.83672111046
51.8150939941,10.754275322,40.3056030273,1.83701805958
51.8445549011,10.7948093414,40.2188148499,1.83580105859
51.8748588562,10.8325242996,40.1311035156,1.83688394828
51.908405304,10.8662910461,40.0428085327,1.83873236512
51.9388427734,10.9043741226,39.9553184509,1.84106456689
51.9707565308,10.9347314835,39.8651123047,1.84373454827
52.006275177,10.9694776535,39.7781028748,1.84565764261
