X,Y,Z,MaximumInscribedSphereRadius
25.360912323,4.81272602081,60.0016860962,1.97175910321
25.3664932251,4.92083883286,60.0178756714,1.97264540917
25.3672866821,5.01355552673,60.0273780823,1.97210280972
25.3703250885,5.1103053093,60.0388641357,1.96936729205
25.3761920929,5.20986461639,60.0463943481,1.96708453709
25.3807220459,5.30954742432,60.0534172058,1.9647403172
25.387594223,5.40916013718,60.059513092,1.96275503865
25.3949737549,5.50884914398,60.0637893677,1.96097953703
25.4026508331,5.60825777054,60.0717277527,1.95957261864
25.4097671509,5.70788383484,60.0771446228,1.95766000351
25.4199256897,5.80732250214,60.0812835693,1.95717875741
25.4302330017,5.90677595139,60.0847129822,1.95648833956
25.4387245178,6.00647926331,60.0838890076,1.95709154154
25.4477119446,6.10592269897,60.088924408,1.95689836626
25.4569854736,6.2054233551,60.0928230286,1.95690673651
25.4644641876,6.30521440506,60.0928153992,1.95751899104
25.4706268311,6.4049448967,60.0974159241,1.95767008092
25.4807186127,6.50447797775,60.1005973816,1.95746715053
25.4863033295,6.60426950455,60.1031455994,1.95764893611
25.4872226715,6.70427274704,60.1044921875,1.9574785802
25.4894313812,6.80422878265,60.1060447693,1.95683474044
25.4943962097,6.90415906906,60.1043777466,1.9558993773
25.4978675842,7.00409412384,60.1070747375,1.9571121007
25.4974250793,7.10410737991,60.1043548584,1.95706632697
25.5038509369,7.20385551453,60.1004867554,1.9544620808
25.5071811676,7.30364370346,60.0945205688,1.95282676628
25.5098571777,7.40320158005,60.0851135254,1.95077465352
25.514673233,7.50290966034,60.078338623,1.94849556072
25.5200195312,7.60231876373,60.0687217712,1.94729383151
25.5244903564,7.70158910751,60.0567474365,1.94580790059
25.5287952423,7.80076408386,60.0439147949,1.94366317432
25.535484314,7.89934110641,60.0284576416,1.94151844804
25.5420608521,7.99763584137,60.0114173889,1.94080648478
25.5441150665,8.09666728973,59.996963501,1.94040516569
25.55037117,8.19547748566,59.9826164246,1.94115989463
25.5543384552,8.29401397705,59.9658622742,1.94330312597
25.5623321533,8.39277362823,59.9521255493,1.94723556087
25.5717506409,8.49135875702,59.9379806519,1.95147431445
25.5751495361,8.58968734741,59.9198265076,1.95445605317
25.5815544128,8.68794059753,59.9023208618,1.95738426496
25.5886745453,8.7856464386,59.8821296692,1.96114193028
25.5933380127,8.88416671753,59.8654212952,1.96531286303
25.599822998,8.98197174072,59.8452301025,1.9685732488
25.6115665436,9.07918739319,59.8248329163,1.97229098577
25.6250572205,9.17630767822,59.8050918579,1.97658915371
25.6367893219,9.27346801758,59.7842178345,1.9802169103
25.6510448456,9.36914348602,59.7588119507,1.98227183374
25.6641197205,9.46494102478,59.7331123352,1.98365259287
25.6795921326,9.55930519104,59.7038154602,1.98138200702
25.6911811829,9.6544713974,59.6750679016,1.98021263623
25.7065944672,9.74795436859,59.6429519653,1.9800520665
25.7212867737,9.8414850235,59.6105003357,1.98045502413
25.7416057587,9.93358802795,59.5773735046,1.98144060065
25.7566223145,10.0265007019,59.5433578491,1.98207772629
25.7722625732,10.1192855835,59.509262085,1.98300767779
25.7926483154,10.2101488113,59.4727363586,1.98446531627
25.8110218048,10.3013715744,59.4359855652,1.98642122038
25.8301429749,10.3918733597,59.3979797363,1.98879808938
25.8509960175,10.4811372757,59.3579063416,1.99156163437
25.8698978424,10.5710067749,59.3182296753,1.99482159799
25.8884563446,10.6608057022,59.2782363892,1.99869844294
25.9074726105,10.7492761612,59.235534668,2.00259557944
25.9376296997,10.8348264694,59.1935462952,2.00429565125
25.9675064087,10.9216327667,59.1537017822,2.00458583315
26.0069046021,11.0065336227,59.1187782288,2.00579664091
26.0537471771,11.0879211426,59.0837020874,2.00717180255
26.0998878479,11.168428421,59.0463752747,2.00847780521
26.1420612335,11.2520875931,59.0112724304,2.00967371629
26.1828689575,11.3338594437,58.9704055786,2.01396622112
26.2199859619,11.414560318,58.9240989685,2.01825872595
26.2571048737,11.4942674637,58.876625061,2.02356338335
26.2984046936,11.5760536194,58.8365097046,2.02803198185
26.3372135162,11.6570835114,58.792175293,2.03411452022
26.376335144,11.7355098724,58.7432022095,2.041836145
26.4247188568,11.8100233078,58.6976509094,2.04951460303
26.4610004425,11.8888921738,58.6479988098,2.05562492285
26.5079669952,11.964099884,58.6019706726,2.06043133571
26.5634975433,12.0348310471,58.5575447083,2.06470189767
26.6073284149,12.1066570282,58.503818512,2.069591293
26.6493339539,12.1782093048,58.4480819702,2.06948413747
26.7022323608,12.2445640564,58.39478302,2.06933218401
26.7598800659,12.3124513626,58.3480377197,2.0716114547
